	sample_name	wordfreqs	poesy + wordfreqs	poesy	rule-based	rule-based (loose)
corpus/NotSonnets/Z200137254.txt	NotSonnets	0.3063671250297369	0.24288188005167216	0.31130962759620273	0.0	0.5
corpus/NotSonnets/Z200137556.txt	NotSonnets	0.34346653157152657	0.4614450438743896	0.5722189586769704	1.0	0.8333333333333334
corpus/NotSonnets/Z200137669.txt	NotSonnets	0.44224107464508405	0.221353248471484	0.17801917712166018	0.0	0.5
corpus/NotSonnets/Z200139458.txt	NotSonnets	0.5218835308267977	0.25996142232894137	0.2624234800680876	0.0	0.8333333333333334
corpus/NotSonnets/Z200139509.txt	NotSonnets	0.48254439394673704	0.4266560481954697	0.48935718857892246	0.0	0.8333333333333334
corpus/NotSonnets/Z200139541.txt	NotSonnets	0.2530608029214496	0.14256046912276188	0.21099324673524852	0.0	0.6666666666666666
corpus/NotSonnets/Z200140988.txt	NotSonnets	0.5098448397640997	0.20569069712013388	0.2184543875882193	0.0	0.5
corpus/NotSonnets/Z200142417.txt	NotSonnets	0.29166738146961124	0.1276209219664068	0.23998819010734532	0.0	0.8333333333333334
corpus/NotSonnets/Z200142676.txt	NotSonnets	0.4164540085126895	0.8151685212045051	0.8598215923898112	1.0	0.8333333333333334
corpus/NotSonnets/Z200145363.txt	NotSonnets	0.2830682920027113	0.1948767047022078	0.36169444857299315	0.0	0.6666666666666666
corpus/NotSonnets/Z200145792.txt	NotSonnets	0.19611077815092165	0.210626071232792	0.3590754720876822	0.0	0.8333333333333334
corpus/NotSonnets/Z200146042.txt	NotSonnets	0.5388329997913595	0.4409896391965076	0.4860800242634107	1.0	1.0
corpus/NotSonnets/Z200153067.txt	NotSonnets	0.39641787070156675	0.20510679986740496	0.26290558662919306	0.0	0.5
corpus/NotSonnets/Z200153081.txt	NotSonnets	0.5716825688931889	0.2697535776308427	0.22740771612702035	0.0	0.6666666666666666
corpus/NotSonnets/Z200155020.txt	NotSonnets	0.26037500245781176	0.22603991267030546	0.3910330843687231	0.0	0.6666666666666666
corpus/NotSonnets/Z200156898.txt	NotSonnets	0.4883345431636011	0.45635079119206445	0.5027797048602423	1.0	1.0
corpus/NotSonnets/Z200159574.txt	NotSonnets	0.2582710666291578	0.21325449770795596	0.3668778690965846	0.0	0.6666666666666666
corpus/NotSonnets/Z200160604.txt	NotSonnets	0.2631898046515597	0.22153228829518753	0.3261770345593314	0.0	0.3333333333333333
corpus/NotSonnets/Z200160770.txt	NotSonnets	0.1853833712344616	0.11890944074382064	0.27720752827998923	0.0	0.5
corpus/NotSonnets/Z200161388.txt	NotSonnets	0.4880394626438078	0.30584140149667904	0.2739034443763937	0.0	0.5
corpus/NotSonnets/Z200163035.txt	NotSonnets	0.37202139822579533	0.3581853542836048	0.5198314687179121	0.0	0.8333333333333334
corpus/NotSonnets/Z200163733.txt	NotSonnets	0.22870454344370475	0.18365024466379337	0.2652266357418302	1.0	0.8333333333333334
corpus/NotSonnets/Z200165283.txt	NotSonnets	0.5763289414602966	0.5211847922685781	0.4898528314836533	0.0	0.8333333333333334
corpus/NotSonnets/Z200166829.txt	NotSonnets	0.39716500167311064	0.2455835057831749	0.3130438602627063	1.0	0.6666666666666666
corpus/NotSonnets/Z200167389.txt	NotSonnets	0.6551771959334064	0.5705562499227681	0.45614463552165196	0.0	0.8333333333333334
corpus/NotSonnets/Z200168054.txt	NotSonnets	0.3912922473755131	0.1300191327851683	0.1289376384198054	0.0	0.5
corpus/NotSonnets/Z200168207.txt	NotSonnets	0.2829062842518106	0.2784237102237807	0.4600798560065944	1.0	0.8333333333333334
corpus/NotSonnets/Z200168943.txt	NotSonnets	0.38918155680338146	0.2019064148103504	0.22961381823527344	0.0	0.6666666666666666
corpus/NotSonnets/Z200169044.txt	NotSonnets	0.6580660582147074	0.47823151637223504	0.3654504717935508	1.0	0.8333333333333334
corpus/NotSonnets/Z200169536.txt	NotSonnets	0.4976095601537674	0.24088139392645874	0.24557660871071768	0.0	0.8333333333333334
