fn	_path	beat_scheme	beat_scheme_diff	beat_scheme_length	beat_scheme_repr	beat_scheme_type	meter_ambiguity	meter_constraint_TOTAL	meter_constraint_footmin-f-resolution	meter_constraint_footmin-w-resolution	meter_constraint_strength_w=>-p	meter_constraint_stress_s=>-u	meter_constraint_stress_w=>-p	meter_length_avg_line	meter_length_avg_parse	meter_mpos_s	meter_mpos_ss	meter_mpos_w	meter_mpos_ww	meter_perc_lines_ending_s	meter_perc_lines_ending_w	meter_perc_lines_fourthpos_	meter_perc_lines_fourthpos_s	meter_perc_lines_fourthpos_w	meter_perc_lines_starting_s	meter_perc_lines_starting_w	meter_type_foot	meter_type_head	meter_type_scheme	num_lines	rhyme_scheme	rhyme_scheme_acc_4-Rhyme	rhyme_scheme_acc_Alternating A	rhyme_scheme_acc_Alternating B	rhyme_scheme_acc_Alternating D	rhyme_scheme_acc_Alternating E	rhyme_scheme_acc_Aternating C	rhyme_scheme_acc_Couplet	rhyme_scheme_acc_Enclosed Rhyme	rhyme_scheme_acc_Monk'S Tale Stanza	rhyme_scheme_acc_Octet	rhyme_scheme_acc_Ottava Rima	rhyme_scheme_acc_Quatrain And Triplet	rhyme_scheme_acc_Rhyme Royal	rhyme_scheme_acc_Scottish Stanza	rhyme_scheme_acc_Sestet A	rhyme_scheme_acc_Sestet B	rhyme_scheme_acc_Sonnet A	rhyme_scheme_acc_Sonnet B	rhyme_scheme_acc_Sonnet C	rhyme_scheme_acc_Sonnet D	rhyme_scheme_acc_Sonnet E	rhyme_scheme_acc_Sonnet F	rhyme_scheme_acc_Sonnet G	rhyme_scheme_acc_Sonnet H	rhyme_scheme_acc_Sonnet I	rhyme_scheme_acc_Sonnet J	rhyme_scheme_acc_Sonnet, Petrarchan A	rhyme_scheme_acc_Sonnet, Petrarchan B	rhyme_scheme_acc_Sonnet, Petrarchan C	rhyme_scheme_acc_Sonnet, Petrarchan D	rhyme_scheme_acc_Sonnet, Petrarchan E	rhyme_scheme_acc_Sonnet, Shakespearean	rhyme_scheme_acc_Sonnet, Spenserian	rhyme_scheme_acc_Spenserian Stanza	rhyme_scheme_acc_Triplet	rhyme_scheme_accuracy	rhyme_scheme_form	rhyme_scheme_name	rhymes_l01-l02	rhymes_l01-l03	rhymes_l01-l04	rhymes_l01-l05	rhymes_l01-l06	rhymes_l01-l07	rhymes_l01-l08	rhymes_l01-l09	rhymes_l01-l10	rhymes_l01-l11	rhymes_l01-l12	rhymes_l01-l13	rhymes_l01-l14	rhymes_l02-l03	rhymes_l02-l04	rhymes_l02-l05	rhymes_l02-l06	rhymes_l02-l07	rhymes_l02-l08	rhymes_l02-l09	rhymes_l02-l10	rhymes_l02-l11	rhymes_l02-l12	rhymes_l02-l13	rhymes_l02-l14	rhymes_l03-l04	rhymes_l03-l05	rhymes_l03-l06	rhymes_l03-l07	rhymes_l03-l08	rhymes_l03-l09	rhymes_l03-l10	rhymes_l03-l11	rhymes_l03-l12	rhymes_l03-l13	rhymes_l03-l14	rhymes_l04-l05	rhymes_l04-l06	rhymes_l04-l07	rhymes_l04-l08	rhymes_l04-l09	rhymes_l04-l10	rhymes_l04-l11	rhymes_l04-l12	rhymes_l04-l13	rhymes_l04-l14	rhymes_l05-l06	rhymes_l05-l07	rhymes_l05-l08	rhymes_l05-l09	rhymes_l05-l10	rhymes_l05-l11	rhymes_l05-l12	rhymes_l05-l13	rhymes_l05-l14	rhymes_l06-l07	rhymes_l06-l08	rhymes_l06-l09	rhymes_l06-l10	rhymes_l06-l11	rhymes_l06-l12	rhymes_l06-l13	rhymes_l06-l14	rhymes_l07-l08	rhymes_l07-l09	rhymes_l07-l10	rhymes_l07-l11	rhymes_l07-l12	rhymes_l07-l13	rhymes_l07-l14	rhymes_l08-l09	rhymes_l08-l10	rhymes_l08-l11	rhymes_l08-l12	rhymes_l08-l13	rhymes_l08-l14	rhymes_l09-l10	rhymes_l09-l11	rhymes_l09-l12	rhymes_l09-l13	rhymes_l09-l14	rhymes_l10-l11	rhymes_l10-l12	rhymes_l10-l13	rhymes_l10-l14	rhymes_l11-l12	rhymes_l11-l13	rhymes_l11-l14	rhymes_l12-l13	rhymes_l12-l14	rhymes_l13-l14	syll_scheme	syll_scheme_diff	syll_scheme_length	syll_scheme_repr	syll_scheme_type
corpus/Sonnets/Z200383337.txt	corpus/Sonnets/Z200383337.txt	[4, 5, 5, 5, 5, 5, 5]	7.0	7.0	Complex (4-5-5-5-5-5-5)	Complex	1.8571428571400002	0.08461538461539998	0.0	0.0	0.0	0.0384615384615	0.046153846153800006	9.57142857143	9.57142857143	0.5		0.46923076923100004	0.0307692307692	0.8571428571430001	0.14285714285700002		0.928571428571	0.07142857142860001	0.14285714285700002	0.8571428571430001	binary	final	iambic	14.0	[u'Sonnet, Shakespearean', u'abab cdcd efefgg']												0.46666666666699996					0.545454545455	0.555555555556														1.0	0.46666666666699996			1.0	abab cdcd efefgg	Sonnet, Shakespearean		1.0													1.0																																	1.0									1.0																					1.0					1.0								1.0	[10]	6.0	1.0	10	Invariable
corpus/Sonnets/Z200344679.txt	corpus/Sonnets/Z200344679.txt	[5]	8.0	1.0	Pentameter	Invariable	2.3571428571400004	0.103703703704	0.0	0.0	0.0	0.051851851851900006	0.051851851851900006	10.142857142899999	10.142857142899999	0.503703703704		0.444444444444	0.051851851851900006	0.8571428571430001	0.14285714285700002		0.785714285714	0.214285714286	0.214285714286	0.785714285714	binary	final	iambic	14.0	[u'Sonnet I', u'abba cddc effegg']																							0.38461538461499994	0.307692307692	0.555555555556		0.46666666666699996		0.368421052632							0.555555555556	abba cddc effegg	Sonnet I			1.0											1.0																																			1.0							1.0																							1.0					1.0				1.0				[10]	4.0	1.0	10	Invariable
corpus/Sonnets/Z300455976.txt	corpus/Sonnets/Z300455976.txt	[5]	10.0	1.0	Pentameter	Invariable	3.14285714286	0.184615384615	0.0	0.0	0.0	0.061538461538500004	0.12307692307700001	9.28571428571	9.28571428571	0.5		0.5		0.8571428571430001	0.14285714285700002		0.8571428571430001	0.14285714285700002	0.14285714285700002	0.8571428571430001	binary	final	iambic	14.0	[u'Sonnet, Shakespearean', u'abab cdcd efefgg']																	0.33333333333299997	0.3		0.38461538461499994												0.444444444444	0.4			0.444444444444	abab cdcd efefgg	Sonnet, Shakespearean		1.0														1.0																							1.0																		1.0																					1.0					1.0								1.0	[8, 10, 10, 10, 8, 10, 10]	9.0	7.0	Complex (8-10-10-10-8-10-10)	Complex
corpus/NotSonnets/Z300411589.txt	corpus/NotSonnets/Z300411589.txt	[5]	0.0	1.0	Pentameter	Invariable	2.0	0.0729927007299	0.0072992700729899995	0.0	0.0	0.0656934306569	0.0	10.0714285714	10.0714285714	0.503649635036	0.0072992700729899995	0.467153284672	0.021897810219	1.0			1.0		0.214285714286	0.785714285714	binary	final	iambic	14.0	[u'Sonnet, Shakespearean', u'abab cdcd efefgg']												0.46666666666699996					0.545454545455	0.555555555556														1.0	0.46666666666699996			1.0	abab cdcd efefgg	Sonnet, Shakespearean		1.0													1.0																																	1.0									1.0																					1.0					1.0								1.0	[10]	1.0	1.0	10	Invariable
corpus/NotSonnets/Z300476915.txt	corpus/NotSonnets/Z300476915.txt	[5, 5, 5, 3, 4, 5, 4]	21.0	7.0	Complex (5-5-5-3-4-5-4)	Complex	2.7857142857099997	0.149122807018	0.0	0.0	0.0	0.052631578947400004	0.0964912280702	8.28571428571	8.28571428571	0.491228070175		0.491228070175	0.017543859649099998	0.785714285714	0.214285714286		0.8571428571430001	0.14285714285700002	0.07142857142860001	0.928571428571	binary	final	iambic	14.0	[u'Couplet', u'aa']							1.0					0.14285714285700002	0.166666666667				0.133333333333								0.0769230769231											1.0	aa	Couplet	1.0																									1.0																					1.0																	1.0													1.0									1.0					1.0	[8, 10, 8, 6, 8, 10, 8]	19.0	7.0	Complex (8-10-8-6-8-10-8)	Complex
corpus/NotSonnets/Z300569869.txt	corpus/NotSonnets/Z300569869.txt	[5]	8.0	1.0	Pentameter	Invariable	2.7142857142900003	0.148148148148	0.0	0.007407407407409999	0.0	0.07407407407410001	0.06666666666669999	9.78571428571	9.78571428571	0.49629629629600003	0.007407407407409999	0.48888888888899995	0.007407407407409999	0.8571428571430001	0.14285714285700002		0.785714285714	0.214285714286	0.214285714286	0.785714285714	binary	final	iambic	14.0	[u'Sonnet H', u'abba cddc efefef']																				0.176470588235				0.2		0.166666666667		0.181818181818					0.15			0.2	abba cddc efefef	Sonnet H					1.0	1.0							1.0	1.0		1.0											1.0													1.0	1.0															1.0							1.0							1.0	1.0												1.0				1.0					[10]	9.0	1.0	10	Invariable
corpus/NotSonnets/Z300384123.txt	corpus/NotSonnets/Z300384123.txt	[4, 3]	3.0	2.0	Alternating (tetrameter-trimeter)	Alternating	1.35714285714	0.052631578947400004	0.0	0.0	0.0	0.021052631578900003	0.0315789473684	6.92857142857	6.92857142857	0.505263157895		0.47368421052599996	0.021052631578900003	0.928571428571	0.07142857142860001		0.928571428571	0.07142857142860001	0.14285714285700002	0.8571428571430001	binary	final	iambic	14.0	[u'Sonnet, Shakespearean', u'abab cdcd efefgg']												0.3625					0.5	0.363636363636	0.5													0.666666666667				0.666666666667	abab cdcd efefgg	Sonnet, Shakespearean		1.0													1.0																																	1.0									1.0																					1.0		1.0			1.0				1.0					[8, 6]	2.0	2.0	Alternating (8-6)	Alternating
corpus/Sonnets/Z200344671.txt	corpus/Sonnets/Z200344671.txt	[5]	4.0	1.0	Pentameter	Invariable	2.5	0.125	0.0	0.0	0.0	0.0808823529412	0.0441176470588	9.92857142857	9.92857142857	0.48529411764700003	0.0147058823529	0.492647058824	0.00735294117647	0.8571428571430001	0.14285714285700002		0.928571428571	0.07142857142860001	0.14285714285700002	0.8571428571430001	binary	final	iambic	14.0	[u'Sonnet I', u'abba cddc effegg']																							0.38461538461499994	0.307692307692	0.555555555556		0.46666666666699996		0.368421052632							0.555555555556	abba cddc effegg	Sonnet I			1.0											1.0																																			1.0							1.0																							1.0					1.0				1.0				[10]	5.0	1.0	10	Invariable
corpus/Sonnets/Z200321525.txt	corpus/Sonnets/Z200321525.txt	[4, 3, 4, 4, 4, 4, 4]	5.0	7.0	Complex (4-3-4-4-4-4-4)	Complex	2.2857142857099997	0.0873786407767	0.0	0.0	0.0	0.0679611650485	0.0194174757282	7.57142857143	7.57142857143	0.504854368932		0.46601941747599995	0.0291262135922	0.928571428571	0.07142857142860001		0.785714285714	0.214285714286	0.14285714285700002	0.8571428571430001	binary	final	iambic	14.0	[u'Quatrain And Triplet', u'ababccc']							0.28571428571400004					0.55					0.5	0.5														0.5				0.55	ababccc	Quatrain And Triplet		1.0													1.0																																	1.0									1.0																				1.0												1.0	1.0	1.0	[8]	6.0	1.0	8	Invariable
corpus/NotSonnets/Z400246831.txt	corpus/NotSonnets/Z400246831.txt	[5]	34.0	1.0	Pentameter	Invariable	8.71428571429	0.169590643275	0.0292397660819	0.0	0.0	0.07602339181289999	0.0643274853801	13.142857142899999	13.142857142899999	0.444444444444	0.0409356725146	0.479532163743	0.035087719298199996	0.5714285714289999	0.428571428571		0.8571428571430001	0.14285714285700002	0.07142857142860001	0.928571428571	binary	final	iambic	14.0	[u'Couplet', u'aa']							0.428571428571										0.263157894737						0.388888888889					0.23076923076900002	0.269230769231							0.428571428571	aa	Couplet			1.0	1.0		1.0								1.0																							1.0		1.0									1.0									1.0																				1.0									1.0	1.0	1.0	1.0	1.0	1.0	[10, 12, 12, 22, 14, 12, 12]	37.0	7.0	Complex (10-12-12-22-14-12-12)	Complex
